YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,RADAR_DIST,RADAR_2026
1994,3,34.43,-85.98,4,56.45918212884322,True
1994,8,32.48,-85.37,0,39.861530399144904,True
1994,11,33.98,-86.57,1,91.73736270288843,True
1994,3,33.93,-86.67,0,84.79744010483203,True
1994,4,33.65,-86.43,0,61.80648732918491,True
1994,12,30.88,-87.78,0,49.255787373895565,True
1994,4,37.4,-93.55,1,22.60174332630652,True
1994,6,46.98,-95.95,0,120.34277937661267,True
1994,6,46.9,-96.1,0,115.91894304325477,True
1994,7,43.1,-85.08,2,44.21177758636161,True
1994,4,37.68,-92.67,1,81.24231420630002,True
1994,6,44.05,-93.85,1,91.65650532536334,True
1994,6,48.57,-111.93,0,129.93554320267708,True
1994,4,36.08,-89.77,0,82.28992330820165,True
1994,9,37.0,-94.32,0,85.64234266622466,True
1994,9,37.0,-94.27,0,81.43222690716996,True
1994,6,48.63,-112.18,1,142.91047734208357,True
1994,9,29.6,-81.25,0,107.55449548851337,True
1994,8,46.77,-97.85,0,93.17312186883711,True
1994,5,48.67,-101.42,0,216.86572736593007,True
1994,4,33.43,-98.67,0,107.44946113815337,True
1994,4,37.15,-94.45,0,93.46542161983609,True
1994,5,33.58,-98.53,0,96.23532558006795,True
1994,11,32.73,-91.03,1,110.07778920611771,True
1994,5,32.13,-95.5,0,159.94854985689605,True
1994,3,36.85,-95.65,0,75.44897952658799,True
1994,8,35.25,-99.5,1,109.674870105018,True
1994,9,30.25,-81.37,0,41.16545442771189,True
1994,5,32.13,-95.52,0,161.7816505823006,True
1994,6,35.13,-90.02,1,27.34029618908235,True
1994,6,35.13,-90.02,0,27.34029618908235,True
1994,5,27.97,-97.93,1,46.106426245004265,True
1994,6,45.92,-92.93,0,115.96762401022404,True
1994,4,34.75,-81.28,2,87.0669001123826,True
1994,8,48.62,-101.58,0,214.57217012288416,True
1994,3,34.95,-82.13,1,11.04954300501101,True
1994,5,36.08,-96.62,0,95.41669837876364,True
1994,5,36.05,-96.88,0,87.43972600504131,True
1994,4,39.92,-87.95,0,120.81445748876047,True
1994,7,44.03,-84.8,0,97.6535445281423,True
1994,6,40.45,-76.33,1,150.61867598318128,True
1994,8,40.1,-75.78,0,117.8299023803957,True
1994,8,28.4,-82.53,0,78.26589570794653,True
1994,3,33.3,-86.85,2,16.07841344074562,True
1994,11,32.6,-89.12,1,88.582636721467,True
1994,6,33.12,-80.12,0,100.40967548662678,True
1994,6,44.6,-94.3,1,64.28784602752093,True
1994,5,30.08,-98.02,0,41.81195283157828,True
1994,6,26.48,-98.4,1,116.30486062402129,True
1994,6,42.95,-94.08,0,138.67742304507607,True
1994,10,29.97,-94.02,1,79.30048461385876,True
1994,5,32.18,-99.2,2,40.167909148490025,True
1994,5,32.2,-99.17,0,38.44192666597646,True
1994,8,33.9,-81.17,0,7.189347067022017,True
1994,8,33.92,-81.25,3,12.531746397533617,True
1994,8,34.13,-81.23,1,22.631903184583475,True
1994,5,32.13,-97.23,0,49.71070729239714,True
1994,4,47.13,-110.27,2,91.75073319259094,True
1994,4,36.98,-93.17,1,34.96663626952428,True
1994,8,33.53,-81.13,1,46.558109926861796,True
1994,6,48.88,-102.83,0,280.8295114680618,True
1994,5,32.5,-99.4,1,14.3229199220538,True
1994,10,27.33,-82.53,0,43.597229155836246,True
1994,7,39.77,-74.98,1,52.423715395239284,True
1994,10,41.13,-101.72,1,132.42379586398218,True
1994,5,31.08,-98.0,0,71.10400663209077,True
1994,4,38.77,-86.57,1,103.86694721494597,True
1994,4,38.68,-86.47,1,90.81182499045573,True
1994,10,30.33,-95.47,0,102.59034977755731,True
1994,4,34.67,-95.1,1,96.33969812727051,True
1994,9,41.5,-78.13,1,65.01542067818359,True
1994,6,33.82,-80.97,0,19.81589211645986,True
1994,5,34.38,-100.38,1,128.81290462126677,True
1994,9,37.5,-101.37,0,126.74768129045782,True
1994,10,30.57,-81.82,1,14.767166707683657,True
1994,10,32.63,-96.47,0,78.30225212934764,True
1994,10,32.63,-96.47,0,78.30225212934764,True
